Station information:,,,,,,,,
Name,Agent Number,Network Number,Latitude (dec.deg),Longitude (dec.deg),Height (m),Posn_Precision,Observing Authority,
Auckland Aero,1962,C74082,-37.00813,174.78873,7,H,N/A,
"Note: Position precision types are: ""W"" = based on whole minutes, ""T"" = estimated to tenth minute,",,,,,,,,
"G = derived from gridref , ""E"" = error cases derived from gridref,",,,,,,,,
"H = based on GPS readings (NZGD49), ""D"" = by definition i.e. grid points.",,,,,,,,
,,,,,,,,
Rain: Daily,,,,,,,,
Station,Date(NZST),Time(NZST),Amount(mm),SofG,Deficit(mm),Runoff(mm),Period(Hrs),Freq
Auckland Aero,20161108,800,17.2,-,60,0,24,D
Auckland Aero,20161109,800,0,-,64.9,0,24,D
Auckland Aero,20161110,800,0,-,69.8,0,24,D
Auckland Aero,20161111,800,0,-,74.8,0,24,D
Auckland Aero,20161112,800,2.4,-,77.3,0,24,D
Auckland Aero,20161113,800,0.4,-,81.7,0,24,D
Auckland Aero,20161114,800,0,-,86.1,0,24,D
Auckland Aero,20161115,800,1.4,-,88.9,0,24,D
Auckland Aero,20161116,800,9.2,-,83.8,0,24,D
Auckland Aero,20161117,800,11.2,-,76.9,0,24,D
Auckland Aero,20161118,800,6.6,-,75.1,0,24,D
Auckland Aero,20161119,800,0,-,80,0,24,D
Auckland Aero,20161120,800,0.2,-,84.4,0,24,D
Auckland Aero,20161121,800,0,-,88.7,0,24,D
Auckland Aero,20161122,800,0,-,92.8,0,24,D
Auckland Aero,20161123,800,0,-,96.5,0,24,D
Auckland Aero,20161124,800,0,-,100,0,24,D
Auckland Aero,20161125,800,0,-,103.3,0,24,D
Auckland Aero,20161126,800,8.6,-,97.8,0,24,D
Auckland Aero,20161127,800,0.4,-,100.8,0,24,D
Auckland Aero,20161128,800,4.2,-,99.8,0,24,D
Auckland Aero,20161129,800,0.2,-,102.9,0,24,D
Auckland Aero,20161130,800,0,-,106,0,24,D
Auckland Aero,20161201,800,0,-,108.9,0,24,D
Auckland Aero,20161202,800,0,-,111.9,0,24,D
Auckland Aero,20161203,800,0,-,114.6,0,24,D
Auckland Aero,20161204,800,0,-,117.2,0,24,D
Auckland Aero,20161205,800,0,-,119.6,0,24,D
Auckland Aero,20161206,800,0,-,121.8,0,24,D
Auckland Aero,20161207,800,0,-,123.9,0,24,D
Auckland Aero,20161208,800,5.6,-,120.2,0,24,D
Auckland Aero,20161209,800,1.6,-,120.7,0,24,D
Auckland Aero,20161210,800,0,-,122.8,0,24,D
Auckland Aero,20161211,800,9.2,-,115.6,0,24,D
Auckland Aero,20161212,800,2.4,-,115.7,0,24,D
Auckland Aero,20161213,800,0.6,-,117.6,0,24,D
Auckland Aero,20161214,800,0,-,120,0,24,D
Auckland Aero,20161215,800,0,-,122.1,0,24,D
Auckland Aero,20161216,800,0.2,-,124,0,24,D
Auckland Aero,20161217,800,0,-,125.9,0,24,D
Auckland Aero,20161218,800,0,-,127.6,0,24,D
Auckland Aero,20161219,800,0,-,129.2,0,24,D
Auckland Aero,20161220,800,1.6,-,129.1,0,24,D
Auckland Aero,20161221,800,0,-,130.7,0,24,D
Auckland Aero,20161222,800,0,-,132.1,0,24,D
Auckland Aero,20161223,800,9.8,-,123.6,0,24,D
Auckland Aero,20161224,800,1.8,-,123.7,0,24,D
Auckland Aero,20161225,800,0,-,125.6,0,24,D
Auckland Aero,20161226,800,0,-,127.4,0,24,D
Auckland Aero,20161227,800,0,-,129,0,24,D
Auckland Aero,20161228,800,0,-,130.5,0,24,D
Auckland Aero,20161229,800,0,-,132,0,24,D
